Italiano,Romanji,Katana,Libro,Lezione,Tag,Altro...
"Questa è una castagna?
Sì, codesta è una castagna.
Anche questa è una castagna?
No, codesta è una pera giapponese.","Kore wa kuri desu ka.
Hai, sore wa kuri desu.
Kore mo kuri desu ka.
Iie, sore wa nashi desu.","これはくりですか。
はい、それはくりです。
これもくりですか。
いいえ、それはなしです。",Speciale,S4,Frase,
"Queste sono delle pere giapponesi?
Si, codeste sono delle pere giapponesi.
Anche queste sono delle pere giapponesi?
No, codeste sono delle pesche.","Korera wa nashi desu ka.
Hai, sorera wa nashi desu.
Korera mo nashi desu ka.
Iie, sorera wa momo desu.","これらはなしですか。
はい、それらはなしです。
これらもなしですか。
いいえ、それらはももです。",Speciale,S4,Frase,
"Questa che cos'è?
Codesta è un'ape.","Kore wa nan desu ka.
Sore wa hachi desu.","これはなんですか。
それははちです。",Speciale,S4,Frase,
"Codesta che cos'è?
Questa è una palla.","Sore wa nan desu ka.
Kore wa mari desu.","それはなんですか。
これはまりです。",Speciale,S4,Frase,
Orso,Kuma,くま,A,A5,Creature,
Cervo,Shika,しか,A,A5,Creature,
Carpa,Koi,こい,A,A5,Creature,
Mosca,Hae,はえ,A,A5,Creature,
Slitta,Sori,そり,A,A5,Oggetti,
Nave,Fune,ふね,A,A5,Oggetti,
Polipo,Tako,たこ,A,A5,Creature,
Ponte,Hashi,はし,A,A5,Paesaggio,
Filo,Ito,いと,A,A5,Oggetti,
Ago,Hari,はり,A,A5,Oggetti,
Stanza,Heya,へや,A,A5,Casa,
Negozio,Mise,みせ,A,A5,Luogo,
Carta,Kami,かみ,A,A5,Oggetti,
Zappa,Kuwa,くわ,A,A5,Oggetti,
Terra,Tsuchi,つち,A,A5,Paesaggio,
Giardino,Niwa,にわ,A,A5,Casa,
Tappo,Futa,ふた,A,A5,Oggetti,
Miele,Mitsu,みつ,A,A5,Cibo,
Foresta,Mori,もり,A,A5,Luogo,
Cotone,Wata,わた,A,A5,Oggetti,
Quello è un orso,Are wa kuma desu,あれはくまです,A,A5,Frase,
Codesto non è un orso. Codesto è un cervo.,Sore wa kuma dewa arimasen. Sore wa shika desu.,それはくまではありません。それはしかです。,A,A5,Frase,
Questa è una carpa,Kore wa koi desu,これはこいです,A,A5,Frase,
Questa è una mosca,Kore wa hae desu,これははえです,A,A5,Frase,
Codesta è una mosca,Sore wa hae desu,それははえです,A,A5,Frase,
Codesta è una slitta,Sore wa sori desu,それはそりです,A,A5,Frase,
"Codesta che cos'è?
Codesta è una slitta.","Sore wa nan desu ka.
Sore wa sori desu.","それはなんですか。
それはそりです。",A,A5,Frase,
"Quella è una nave?
Sì, quella è una nave.","Are wa fune desu ka.
Hai, are wa fune desu.","あれはふねですか。
はい、あれはふねです。",A,A5,Frase,
"Quella che cos'è?
Quella è una nave.","Are wa nan desu ka.
Are wa fune desu.","あれはなんですか。
あれはふねです。",A,A5,Frase,
Codesto è un polipo,Sore wa tako desu,それはたこです,A,A5,Frase,
"Quello è un ponte?
Sì, quello è un ponte.","Are wa hashi desu ka.
Hai, are wa hashi desu.","あれははしですか。
はい、あれははしです。",A,A5,Frase,
Questo è un filo,Kore wa ito desu,これはいとです,A,A5,Frase,
"Questo che cos'è?
Questo è un filo.","Kore wa nan desu ka.
Kore wa ito desu.","これはなんですか。
これはいとです。",A,A5,Frase,
Questo è un ago,Kore wa hari desu,これははりです,A,A5,Frase,
"Questo è un filo?
No, questo non è un filo. Questo è un ago.","Kore wa ito desu ka.
Iie, kore wa ito dewa arimasen. Kore wa hari desu.","これはいとですか。
いいえ、これはいとではありません。これははりです。",A,A5,Frase,
Questa è una stanza,Kore wa heya desu,これはへやです,A,A5,Frase,
Questa è carta,Kore wa kami desu,これはかみです,A,A5,Frase,
"Questa che cos'è?
È carta.","Kore wa nan desu ka.
Kami desu.","これはなんですか。
かみです。",A,A5,Frase,
"Codesta che cos'è?
Codesta è una zappa.","Sore wa nan desu ka.
Sore wa kuwa desu.","それはなんですか。
それはくわです。",A,A5,Frase,
Questa è terra,Kore wa tsuchi desu,これはつちです,A,A5,Frase,
"Quello che cos'è?
Quello è un giardino.","Are wa nan desu ka.
Are wa niwa desu.","あれはなんですか。
あれはにわです。",A,A5,Frase,
"Questo è un tappo?
Sì, è un tappo.","Kore wa futa desu ka.
Hai, futa desu.","これはなんですか。
はい、ふたです。",A,A5,Frase,
"Questo che cos'è?
Questo è miele.","Kore wa nan desu ka.
Kore wa mitsu desu.","これはなんですか。
これはみつです。",A,A5,Frase,
Quella è la foresta,Are wa mori desu,あれはもりです,A,A5,Frase,
"Quello è un giadino?
No, quella è una foresta.","Are wa niwa desu ka.
Iie, are wa mori desu.","あれはにわですか。
いいえ、あれはもりです。",A,A5,Frase,
Codesto è cotone,Sore wa wata desu,それはわたです,A,A5,Frase,
"Codesto è cotone?
Sì, codesto è cotone.","Sore wa wata desu ka.
Hai, sore wa wata desu.","それはわたですか。
はい、それはわたです。",A,A5,Frase,
Testa,Atama,あたま,A,A6,Corpo,
Schiena,Senaka,せなか,A,A6,Corpo,
Ventaglio,Uchiwa,うちわ,A,A6,Oggetti,
Libro illustrato,Ehon,えほん,A,A6,Oggetti,
Medicina,Kusuri,くすり,A,A6,Oggetti,
Tofu,Toufu,とうふ,A,A6,Cibo,
Filo di lana,Keito,けいと,A,A6,Oggetti,
Fumo,Kemuri,けむり,A,A6,Paesaggio,
Leone marino,Ashika,あしか,A,A6,Creature,
Anatra,Ahiru,あひる,A,A6,Creature,
Pulcino,Hiyoko,ひよこ,A,A6,Creature,
Lucciola,Hotaru,ほたる,A,A6,Creature,
Fungo,Kinoko,きのこ,A,A6,Piante,
Fiori di ciliegio,Sakura,さくら,A,A6,Piante,
Anguria,Suika,すいか,A,A6,Cibo,
Pasta di pesce bollita,Chikuwa,ちくわ,A,A6,Cibo,
Denaro,Okane,おかね,A,A6,Oggetti,
Carta da gioco giapponese,Karuta,カルタ,A,A6,Oggetti,
Tavolo invernale,Kotatsu,こたつ,A,A6,Oggetti,
Portafoglio,Saifu,さいふ,A,A6,Oggetti,
Questa è la testa,Kore wa atama desu,これはあたまです,A,A6,Frase,
Codesta è la schiena,Sore wa senaka desu,それはせなかです,A,A6,Frase,
"Questo che cos'è?
Codesto è un ventaglio.","Kore wa nani desu ka.
Sore wa uchiwa desu.","これはなにですか。
それはうちわです。",A,A6,Frase,
"Questo è un libro illustrato?
Sì, è un libro illustrato.","Kore wa ehon desu ka.
Hai, ehon desu.","これはえほんですか。
はい、えほんです。",A,A6,Frase,
"Codesta che cos'è?
Questa è una medicina.","Sore wa nani desu ka.
Kore wa kusuri desu.","それはなにですか。
これはくすりです。",A,A6,Frase,
"Questo è tofu?
Si, codesto è tofu.
Anche questo è tofu?
Sì, anche questo è tofu.","Kore wa toufu desu ka.
Hai, sore wa toufu desu.
Kore mo toufu desu ka.
Hai, sore mo toufu desu.","これはとうふですか。
はい、それはとうふです。
これもとうふですか。
はい、それはとうふです。",A,A6,Frase,
Codesto è un filo di lana,Sore wa keito desu,それはけいとです,A,A6,Frase,
Quello è fumo,Are wa kemuri desu,あれはけむりです,A,A6,Frase,
Codesto è un leone marino,Sore wa ashika desu,それはあしかです,A,A6,Frase,
Codesta è un'anatra,Sore wa ahiru desu,それはあひるです,A,A6,Frase,
Questo è un pulcino,Kore wa hiyoko desu,これはひよこです,A,A6,Frase,
Questa è una lucciola,Kore wa hotaru desu,これはほたるです,A,A6,Frase,
"Questo che cos'è?
Codesto è un fungo.","Kore wa nani desu ka.
Sore wa kinoko desu.","これはなにですか。
それはきのこです。",A,A6,Frase,
"Quelli che cosa sono?
Quelli sono fiori di ciliegio.","Are wa nani desu ka.
Are wa sakura desu.","あれはなにですか。
あれはさくらです。",A,A6,Frase,
"Questa è un'anguria?
Sì, codesta è un'anguria.","Kore wa suika desu ka.
Hai, sore wa suika desu.","これはすいかですか。
はい、それはすいかです。",A,A6,Frase,
"Questa è un'anguria?
No, codesta è pasta di pesce bollita.","Kore wa suika desu ka.
Iie, sore wa chikuwa desu.","これはすいかですか。
いいえ、それはちくわです。",A,A6,Frase,
"Questo che cos'è?
È denaro.","Kore wa nani desu ka.
Okane desu.","これはなにですか。
おかねです。",A,A6,Frase,
"Questo cos'è?
Codesta è una carta da gioco giapponese.
Anche questa è una carta da gioco giapponese?
Sì, anche codesta è una carta da gioco giapponese.","Kore wa nani desu ka.
Sore wa karuta desu.
Kore mo karuta desu ka.
Hai, sore mo karuta desu.","これはなにですか。
それはカルタです。
これもカルタですか。
はい、それはカルタです。",A,A6,Frase,
Codesto è un tavolo invernale,Sore wa kotatsu desu,それはこたつです,A,A6,Frase,
"Questo che cos'è?
Codesto è un portafoglio.","Kore wa nani desu ka.
Sore wa saifu desu.","これはなにですか。
それはさいふです。",A,A6,Frase,
Io,Watakushi,わたくし,Speciale,S6,Pronome,Molto formale
Io,Watashi,わたし,Speciale,S6,Pronome,Formale
Io,Boku,ぼく,Speciale,S6,Pronome,Informale uomini
Io,Ore,おれ,Speciale,S6,Pronome,Molto informale uomini
Giappone,Nihon,にほん,Speciale,S6,Nazione,
Giapponese,Nihonjin,にほんじん,Speciale,S6,Nazionalità,
Italia,Itaria,イタリア,Speciale,S6,Nazione,
Italiano,Itariajin,イタリアじん,Speciale,S6,Nazionalità,
